name,requirements,responsibilities,experience,employment,salary_from,salary_to,currency,gross
DWH Developer,"Стек: Oracle DB, MS SQL, ClickHouse, MinIO, Oracle Data Integrator, AirFlow, SQL Server Integration Services, YouTrack, Confluence, Git, GitLab. ","Мы работаем над созданием аналитического хранилища данных, строим процессы загрузки и обработки данных из различных источников. На основе данных аналитической...",От 3 до 6 лет,Полная занятость,,,,
DWH разработчик,"Знание языка и библиотек Python (в частности pandas, numpy, sqlalchemy) для разработки модулей. Хорошее знание SQL - джойны, оконные функции (опыт...",Разработка и внедрение программных модулей для <highlighttext>хранилища</highlighttext> <highlighttext>данных</highlighttext>. <highlighttext>Разработка</highlighttext> пайплайнов данных. Проверка работоспособности разработанного программного обеспечения. Разработка процедур интеграции программных...,От 1 года до 3 лет,Полная занятость,,,,
DWH Developer,"Уверенные знания SQL (MS SQL, PostgreSQL или Oracle): написание процедур, функций, сложныx запросов, оконных функций, умение оптимизировать запросы. ",Принимать участие в развитии Хранилища Данных. Разрабатывать витрины данных со сложными аналитическими показателями. Работать с большими объемами данных. ,От 1 года до 3 лет,Полная занятость,,,,
DWH developer,Отличное знание SQL. Опыт проектирования и оптимизации DWH. Знание ETL и оркестраторов. Знание принципов построения аналитических хранилищ. Опыт работы с...,"Обеспечить стабильную работу хранилища данных, наладить обмен данными между сервисами и поддерживать аналитическую инфраструктуру компании. Интеграция сервисов (Keitaro, FBtool, Affise...",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer,...на позиции <highlighttext>дата</highlighttext>-<highlighttext>инженера</highlighttext> от 2 лет. Уверенно владеет SQL и Python. Имеет опыт работы с <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext> 2 и...,Создавать и поддерживать ETL/ELT-процессы. Cоздавать и редактировать SQL-процедуры для наполнения таблиц хранилища. Следить за корректностью работы отчетов...,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,...на позиции <highlighttext>дата</highlighttext>-<highlighttext>инженера</highlighttext> от 2 лет. Уверенно владеет SQL и Python. Имеет опыт работы с <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext> 2 и...,Создавать и поддерживать ETL/ELT-процессы. Cоздавать и редактировать SQL-процедуры для наполнения таблиц хранилища. Следить за корректностью работы отчетов...,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Опыт работы с Python, SQL, <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>, Spark, <highlighttext>DBT</highlighttext>, Kafka или аналогами. Понимание архитектур DWH и ETL-процессов. ","Проектирование, разработка и сопровождение data pipeline'ов (ETL/ELT). Интеграция данных из внутренних и внешних источников. Оптимизация хранения и обработки...",От 1 года до 3 лет,Полная занятость,,700000.0,KZT,False
Data Engineer / Дата-инженер,Databricks (Python/PySpark/SQL). Data visualization with Power BI. Python and SQL programming skills. 2+ years of relevant work...,"Share the best industry practices with the local <highlighttext>Data</highlighttext> <highlighttext>Engineering</highlighttext> community, deliver training sessions and other learning opportunities. ",От 1 года до 3 лет,Полная занятость,190000.0,,RUR,True
Data Engineer / Инженер данных,"Высшее образование (техническое, математическое, информационные технологии). Опыт работы от 1 года (готовы рассмотреть кандидатов без опыта при наличии сильных теоретических...","Администрирование и оптимизация БД, обеспечение качества данных в соответствии с бизнес-требованиями. Мониторинг производительности, анализ логов, оптимизация запросов. ",Нет опыта,Полная занятость,70000.0,,RUR,False
Data Engineer,Опыт разработки на языке программирования Python или Java: Использовали в работе или знаете про <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>/Apache NiFi (иные похожие...,Создание и поддержка аналитических хранилищ. Разработка и поддержка полного цикла ETL/ELT. Оптимизация хранилищ и поддержка в построении аналитических запросов...,От 3 до 6 лет,Полная занятость,,,,
Data Engineer (Дата Инженер),"Опыт работы с инструментами оркестрации (Airflow, NiFi). Знание <highlighttext>Apache</highlighttext> <highlighttext>Spark</highlighttext>, Kafka. Навыки аудита и оптимизации ETL-процессов. 2+ года...","Разрабатывать и поддерживать ETL/ELT пайплайны для обработки данных из PostgreSQL, MongoDB, ClickHouse. Выполнять интеграцию источников данных в Data Lakehouse. ",От 3 до 6 лет,Полная занятость,,,,
Data Engineer стажер,Знание SQL и принципов проектирования баз данных. Опыт работы с OLAP и Microsoft Excel. Грамотная речь и способность к самостоятельному...,"Разработка хранилищ данных (SQL базы, запросы, процедуры). Создание OLAP-кубов и ETL-процедур. Техническая поддержка пользователей.",Нет опыта,Полная занятость,30000.0,30000.0,RUR,False
Старший менеджер по архитектуре данных/Senior Data Engineer/BI Engineer,Опыт работы на проектах от 5 лет в крупных и средних компаниях. Отличное знание OLTP и OLAP баз данных. ,"Проектирование и оптимизация OLTP баз данных. Разработка и поддержка OLAP хранилищ данных (SSAS, ClickHouse). Создание хранилищ данных для BI и...",От 3 до 6 лет,Полная занятость,,,,
Архитектор DWH,Дорабатывать подходы и правила игры (cookbook) по архитектуре DWH. Важен опыт работы с корпоративными хранилищами и любой широкий опыт работы...,"Разработка архитектуры DWH для прикладных и ядровых сервисов (Integration Engine, мониторинг, аудит, ККД, Data catalog). Разработка физмодели DWH (схемы, связи...",Более 6 лет,Полная занятость,,,,
Data Engineer / Инженер данных,"Понимание работы СУБД и принципов построения хранилищ данных. Знание Airflow и Docker. Опыт работы с Hadoop (Spark, HDFS, YARN etc.). ","Работать с витринами данных. Интегрировать источники данных в DataLake. Контролировать качество загружаемых данных. Проводить код ревью. Отвечать за оптимизацию, рефакторинг...",От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Опыт работы с реляционными базами данных (PostgreSQL, MySQL). Опыт работы с инструментами оркестрации (<highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>, Dagster). Базовое понимание концепций хранилищ...","Разработка и поддержка ETL-процессов для сбора, трансформации и загрузки данных. Работа с различными источниками данных и базами данных. ",От 1 года до 3 лет,Полная занятость,,,,
Data Engineer,"Навыки построения ETL и потоковых процессов обработки данных (<highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext>, <highlighttext>dbt</highlighttext>, Kafka, Spark, informatica и пр.). Понимание архитектуры Data Warehouse...",Интеграция с источниками данных: Разработка ETL-процессов для автоматизированной выгрузки и процессинга данных. Оптимизация запросов и потоков данных для ускорения...,От 1 года до 3 лет,Полная занятость,,,,
Data Engineer,"Навыки работы с библиотеками Pandas, Requests, BeautifulSoup или Scrapy. Навыки работы с <highlighttext>Apache</highlighttext> <highlighttext>Airflow</highlighttext> и Spark. Уверенный опыт работы с...",Сбор и обработка данных для аналитической отчетности компании. Выстраивание инфраструктуры для хранения и обработки больших объемов данных. Автоматизация процессов сбора...,От 3 до 6 лет,Полная занятость,,,,
DWH разработчик в команду Данных,Будет плюсом: Опыт работы в финансовых организациях или проектах. Опыт со Spark. Опыт с <highlighttext>DBT</highlighttext>. Навыки миграции данных между различными...,Создание витрин данных в ХД (хранилище данных). Опромышливание решений для СУРМ (системы управления рисками). Разработка и оптимизация SQL-запросов. ,От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Опыт работы от 2 лет в области <highlighttext>Data</highlighttext> <highlighttext>Engineering</highlighttext>. Опыт работы с платформами: PostgreSQL, Airflow, Spark, Python, Java. ",Разработка и поддержка ETL процессов для обработки больших объемов данных. Создание алгоритмов определения принадлежности приходящих записей к бизнес-сущностям. ,От 1 года до 3 лет,Полная занятость,,,,
Data Engineer,Имеет опыт работы в области обработки данных. Знает принципы работы с ETL-процессами. Умеет оптимизировать запросы и процессы обработки данных. ,"Разрабатывать ETL-процессы: создавать процессы извлечения, преобразования и загрузки данных из различных источников в хранилище данных. Оптимизировать производительность: улучшать запросы...",От 1 года до 3 лет,Полная занятость,150000.0,150000.0,RUR,False
Data Engineer,"Отличное знание SQL, Python. Опыт построения аналитического хранилища данных. Опыт работы с Greenplum, PostgreSQL, Clickhouse.","Проектировать архитектуру АХД, разрабатывать и запускать сервисы c DЕ-решениями. Развивать и улучшать существующие продукты и сервисы. Участвовать в проработке...",От 3 до 6 лет,Полная занятость,,,,
Data Engineer,"Знание MS SQL на уровне <highlighttext>инженера</highlighttext> <highlighttext>данных</highlighttext> (CTE, оконные функции, процедуры), опыт работы с <highlighttext>dbt</highlighttext>. Знание ETL-процессов и инструментов...","Построение аналитических витрин данных, работа с семантическим слоем <highlighttext>DWH</highlighttext>: <highlighttext>разработка</highlighttext> аналитических витрин данных для возможностей использования данных; работа с семантическим...",От 1 года до 3 лет,Полная занятость,,,,
DWH-разработчик,Высшее образование (IT/математика/физика/инженерия). Опыт работы более 3-х лет на позиции со схожими обязанностями. Знание SQL (навыки...,"Разработка ETL-процессов, подключение новых источников данных в DWH. Подготовка витрин данных в DWH. Визуализация данных в BI-инструментах.",От 1 года до 3 лет,Полная занятость,,,,
